TargetReturn,Mean,Stdev,AnnualizedMean,AnnualizedStdev,Sharpe
0.005,0.0025,0.0208,0.3298,0.1214,0.64
0.010,0.0035,0.0297,0.4721,0.1190,0.89
0.015,0.0043,0.0377,0.5989,0.1140,1.08
0.020,0.0054,0.0482,0.7651,0.1127,1.37
0.025,0.0059,0.0594,0.9424,0.0996,1.49
0.030,0.0060,0.0714,1.1330,0.0836,1.50
0.035,0.0072,0.0831,1.3197,0.0868,1.82
0.040,0.0085,0.0955,1.5166,0.0887,2.14
0.045,0.0093,0.1079,1.7129,0.0860,2.34
0.050,0.0100,0.1197,1.9000,0.0835,2.52
0.055,0.0104,0.1341,2.1294,0.0778,2.63
0.060,0.0108,0.1474,2.3406,0.0730,2.71
0.065,0.0119,0.1624,2.5777,0.0733,3.00
0.070,0.0116,0.1793,2.8458,0.0646,2.92
0.075,0.0127,0.1982,3.1461,0.0642,3.21
0.080,0.0131,0.2178,3.4570,0.0602,3.30
0.085,0.0136,0.2337,3.7099,0.0582,3.43
0.090,0.0152,0.2513,3.9889,0.0603,3.82
0.095,0.0148,0.2718,4.3145,0.0546,3.74
0.100,0.0152,0.2847,4.5201,0.0535,3.84
